estimated_pickup_latitude,estimated_pickup_longitude,pickup_hex,estimated_dropoff_latitude,estimated_dropoff_longitude,dropoff_hex
23.66402612,90.48647493,893cf174eb3ffff,23.66372887,90.48642732,893cf174eb3ffff
23.77540568,90.41255895,893cf10c923ffff,23.77535782,90.41238058,893cf10c923ffff
23.81189436,90.4265392,893cf13b39bffff,23.81181146,90.42665522,893cf13b39bffff
23.87038518,90.38845059,893cf10580fffff,23.87038518,90.38845059,893cf10580fffff
23.772986,90.411379,893cf10c93bffff,23.7730007,90.4114306,893cf10c93bffff
27.7145,85.20519,893c066ce97ffff,27.712668,85.2057489,893c066ce97ffff
27.68010901,85.34579097,893c02d6d2bffff,27.6801673,85.3460247,893c02d6d2bffff
23.80994497,90.41343067,893cf13b04fffff,23.80995724,90.41342564,893cf13b04fffff
24.88875465,91.87292989,893ce361587ffff,24.888742,91.8729117,893ce361587ffff
27.72693517,85.34824524,893c0299c03ffff,27.7265744,85.3481362,893c0299c03ffff
27.67742848,85.4672049,893c028854fffff,27.67742848,85.4672049,893c028854fffff
27.72046225,85.29108267,893c0299467ffff,27.7208368,85.29051874,893c0299467ffff
27.77151018,85.34909985,893c02981d3ffff,27.7713657,85.3483683,893c02981d3ffff
27.67051465,85.40969398,893c028b1dbffff,27.6718191,85.408521,893c028b1dbffff
27.77151018,85.34909985,893c02981d3ffff,27.7713657,85.3483683,893c02981d3ffff
27.73706818,85.33187069,893c0298273ffff,27.7356981,85.3320873,893c0298273ffff
27.7201619,85.2792851,893c0299447ffff,27.7199729,85.279815,893c0299447ffff
27.69532847,85.37332155,893c0299bcbffff,27.69594239,85.37630819,893c0299bcbffff
27.73069825,85.32615054,893c029824fffff,27.73073149,85.32620251,893c029824fffff
27.6563691,85.31624816,893c02d6e23ffff,27.6569515,85.3160906,893c02d6e23ffff
27.6748446,85.32265501,893c02d6c2bffff,27.67439695,85.32041956,893c02d6c2bffff
27.72840836,85.32555375,893c02991b3ffff,27.72840836,85.32555375,893c02991b3ffff
27.6939071,85.3432374,893c02d6db7ffff,27.6938143,85.3432565,893c02d6db7ffff
27.67396256,85.35780564,893c02d69abffff,27.6734759,85.3580879,893c02d69abffff
23.80113232,90.4234561,893cf13b3cbffff,23.80113867,90.42346721,893cf13b3cbffff
27.69357459,85.31881571,893c0299373ffff,27.69202135,85.31969869,893c0299373ffff
23.74262435,90.41302767,893cf17658fffff,23.74262435,90.41302767,893cf17658fffff
27.69544217,85.29113431,893c029928fffff,27.694799,85.2916323,893c029928fffff
27.70755651,85.32966021,893c0299ed3ffff,27.7082408,85.33015516,893c0299ed3ffff
23.745727,90.3813635,893cf10ca3bffff,23.74571264,90.38137525,893cf10ca3bffff
23.7387945,90.40958036,893cf1765c7ffff,23.73877035,90.40952421,893cf1765c7ffff
23.81488003,90.42903744,893cf13b393ffff,23.81247525,90.42906895,893cf13b393ffff
27.66766912,84.42462187,893c1596d2fffff,27.6677033,84.4245683,893c1596d2fffff
27.70979044,85.33257309,893c029916fffff,27.7098382,85.3325942,893c029916fffff
27.67483581,85.32482721,893c02d6c2fffff,27.6738601,85.3251782,893c02d6c2fffff
27.70916799,85.31033222,893c029902bffff,27.70917571,85.31035837,893c029902bffff
27.71953268,85.3310791,893c029913bffff,27.7195904,85.3310708,893c029913bffff
23.8341099,90.36657516,893cf10e99bffff,23.8341099,90.36657516,893cf10e99bffff
23.820331,90.433915,893cf13b153ffff,23.82036909,90.43389883,893cf13b153ffff
23.77654337,90.360565,893cf10cc47ffff,23.77802,90.36117,893cf10cc47ffff
23.772639,90.365377,893cf10cc6bffff,23.77262308,90.36541644,893cf10cc6bffff
23.82560989,90.43974247,893cf13b103ffff,23.8257,90.4397719,893cf13b103ffff
23.750651,90.390494,893cf10cbcfffff,23.750719,90.39059147,893cf10cbcfffff
23.75110003,90.38634002,893cf10cbdbffff,23.75164,90.3856,893cf10cbdbffff
23.89219041,90.38709473,893cf105dcfffff,23.89219501,90.38709976,893cf105dcfffff
27.71717315,85.36304891,893c029988bffff,27.71651064,85.36271241,893c029988bffff
27.62289012,85.31903766,893c02d4117ffff,27.62289012,85.31903766,893c02d4117ffff
27.69180583,85.30583281,893c0299227ffff,27.69180583,85.30583281,893c0299227ffff
27.66604841,85.33167757,893c02d6817ffff,27.66604841,85.33167757,893c02d6817ffff
27.72054921,85.36208075,893c0299883ffff,27.72054921,85.36208075,893c0299883ffff
27.73928578,85.3474322,893c029834bffff,27.73842343,85.34776848,893c029834bffff
27.70008354,85.37664983,893c0299bc3ffff,27.69862836,85.37371416,893c0299bc3ffff
27.70423611,85.35209522,893c0299e23ffff,27.70423611,85.35209522,893c0299e23ffff
27.66374559,85.31727813,893c02d6ea7ffff,27.66374559,85.31727813,893c02d6ea7ffff
27.66660785,85.33267938,893c02d6817ffff,27.66660785,85.33267938,893c02d6817ffff
27.7029588,85.35780866,893c0299a97ffff,27.7030787,85.3579035,893c0299a97ffff
